recoding_id;date;CH4;CO;NO;NO_2;O_3;PM10;PM25;SO_2;station
1;01/01/18 01:00;1.37999999523162;0.200000002980232;6;33;56;5;2;3;1
2;01/01/18 01:00;;0.600000023841857;63;32;49;70;;25;2
3;01/01/18 01:00;1.11000001430511;0.200000002980232;1;1;81;10;5;3;3
4;01/01/18 01:00;1.13999998569488;;1;9;;12;;;4
5;01/01/18 01:00;;0.300000011920928;18;37;51;;;;5
6;01/01/18 02:00;1.37999999523162;0.300000011920928;14;64;32;9;4;3;1
7;01/01/18 02:00;;0.400000005960464;8;41;38;318;;8;2
8;01/01/18 02:00;1.11000001430511;0.200000002980232;1;6;73;18;11;3;3
9;01/01/18 02:00;1.13999998569488;;2;15;;21;;;4
10;01/01/18 02:00;;0.400000005960464;25;62;33;;;;5
11;01/01/18 03:00;1.37000000476837;0.300000011920928;15;63;34;12;7;2;1
12;01/01/18 03:00;;0.300000011920928;2;26;55;32;;6;2
13;01/01/18 03:00;1.11000001430511;0.200000002980232;1;8;69;15;7;3;3
14;01/01/18 03:00;1.13999998569488;;1;29;;13;;;4
15;01/01/18 03:00;;0.200000002980232;12;33;54;;;;5
16;01/01/18 04:00;1.37000000476837;0.300000011920928;10;51;40;7;1;2;1
17;01/01/18 04:00;;0.200000002980232;1;22;59;5;;6;2
18;01/01/18 04:00;1.11000001430511;0.200000002980232;1;3;76;11;4;3;3
19;01/01/18 04:00;1.13999998569488;;1;15;;14;;;4
20;01/01/18 04:00;;0.200000002980232;10;23;60;;;;5
21;01/01/18 05:00;1.37999999523162;0.300000011920928;13;57;33;6;2;2;1
22;01/01/18 05:00;;0.200000002980232;2;28;50;5;;6;2
23;01/01/18 05:00;1.11000001430511;0.200000002980232;1;5;67;9;4;3;3
24;01/01/18 05:00;1.17999994754791;;1;16;;9;;;4
25;01/01/18 05:00;;0.200000002980232;9;21;56;;;;5
26;01/01/18 06:00;1.37999999523162;0.300000011920928;12;45;36;6;3;2;1
27;01/01/18 06:00;;0.300000011920928;2;32;45;5;;5;2
28;01/01/18 06:00;1.12000000476837;0.200000002980232;1;2;66;7;3;3;3
29;01/01/18 06:00;1.14999997615814;;2;23;;13;;;4
30;01/01/18 06:00;;0.200000002980232;10;22;51;;;;5
31;01/01/18 07:00;1.37999999523162;0.300000011920928;12;51;30;8;5;2;1
32;01/01/18 07:00;;0.300000011920928;2;35;42;4;;5;2
33;01/01/18 07:00;1.12000000476837;0.200000002980232;1;4;57;7;3;3;3
34;01/01/18 07:00;1.20000004768371;;14;65;;13;;;4
35;01/01/18 07:00;;0.200000002980232;11;27;45;;;;5
36;01/01/18 08:00;1.38999998569488;0.300000011920928;16;58;24;9;5;2;1
37;01/01/18 08:00;;0.300000011920928;2;30;46;5;;5;2
38;01/01/18 08:00;1.12999999523162;0.200000002980232;1;12;47;8;3;3;3
39;01/01/18 08:00;1.16999995708465;;9;43;;10;;;4
40;01/01/18 08:00;;0.200000002980232;10;29;45;;;;5
41;01/01/18 09:00;1.39999997615814;0.300000011920928;16;53;23;9;6;2;1
42;01/01/18 09:00;;0.300000011920928;2;21;45;4;;5;2
43;01/01/18 09:00;1.13999998569488;0.200000002980232;1;14;43;11;7;3;3
44;01/01/18 09:00;1.14999997615814;;1;28;;8;;;4
45;01/01/18 09:00;;0.300000011920928;20;46;28;;;;5
46;01/01/18 10:00;1.40999996662139;0.300000011920928;9;41;29;8;5;2;1
47;01/01/18 10:00;;0.300000011920928;4;16;51;4;;5;2
48;01/01/18 10:00;1.12000000476837;0.200000002980232;1;7;55;9;4;3;3
49;01/01/18 10:00;1.19000005722045;;4;34;;12;;;4
50;01/01/18 10:00;;0.300000011920928;35;59;20;;;;5
51;01/01/18 11:00;1.40999996662139;0.300000011920928;13;40;38;8;5;3;1
52;01/01/18 11:00;;0.200000002980232;6;27;48;7;;5;2
53;01/01/18 11:00;1.12000000476837;0.200000002980232;1;4;61;9;2;3;3
54;01/01/18 11:00;1.17999994754791;;4;25;;11;;;4
55;01/01/18 11:00;;0.200000002980232;15;26;49;;;;5
56;01/01/18 12:00;1.40999996662139;0.300000011920928;14;39;43;10;5;4;1
57;01/01/18 12:00;;0.300000011920928;6;20;52;8;;6;2
58;01/01/18 12:00;1.12000000476837;0.200000002980232;1;3;63;11;4;3;3
59;01/01/18 12:00;1.16999995708465;;5;25;;13;;;4
60;01/01/18 12:00;;0.200000002980232;12;18;58;;;;5
61;01/01/18 13:00;1.38999998569488;0.300000011920928;12;35;50;6;1;3;1
62;01/01/18 13:00;;0.300000011920928;4;12;60;9;;6;2
63;01/01/18 13:00;1.12000000476837;0.200000002980232;1;5;69;11;5;3;3
64;01/01/18 13:00;1.16999995708465;;4;22;;17;;;4
65;01/01/18 13:00;;0.200000002980232;12;14;63;;;;5
66;01/01/18 14:00;1.37999999523162;0.300000011920928;12;33;52;7;3;3;1
67;01/01/18 14:00;;0.300000011920928;5;17;59;8;;6;2
68;01/01/18 14:00;1.11000001430511;0.200000002980232;1;1;72;13;7;3;3
69;01/01/18 14:00;1.15999996662139;;6;21;;14;;;4
70;01/01/18 14:00;;0.200000002980232;15;19;61;;;;5
71;01/01/18 15:00;1.37999999523162;0.300000011920928;12;31;56;12;7;3;1
72;01/01/18 15:00;;0.200000002980232;4;14;62;8;;6;2
73;01/01/18 15:00;1.11000001430511;0.200000002980232;1;1;74;12;6;3;3
74;01/01/18 15:00;1.14999997615814;;5;17;;15;;;4
75;01/01/18 15:00;;0.200000002980232;14;19;62;;;;5
76;01/01/18 16:00;1.37999999523162;0.300000011920928;9;31;54;15;11;3;1
77;01/01/18 16:00;;0.300000011920928;4;19;60;7;;6;2
78;01/01/18 16:00;1.11000001430511;0.200000002980232;1;2;75;13;7;3;3
79;01/01/18 16:00;1.14999997615814;;3;17;;12;;;4
80;01/01/18 16:00;;0.200000002980232;13;19;62;;;;5
81;01/01/18 17:00;1.37999999523162;0.300000011920928;10;38;48;14;10;3;1
82;01/01/18 17:00;;0.200000002980232;2;18;57;4;;5;2
83;01/01/18 17:00;1.12000000476837;0.200000002980232;1;4;69;10;3;3;3
84;01/01/18 17:00;1.15999996662139;;1;17;;16;;;4
